item_code,item_name,description,item_group,stock_uom,brand,custom_material,custom_weight_kg,custom_volume_m3,weight_per_unit,disabled,source_sheet,source_row,source_ref,review_note
IT.1,SET CABINE STANDARD INOX 1200/1100 + ARCADES & ACCESSOIRES GEARBOX,SET CABINE STANDARD INOX 1200/1100 + ARCADES & ACCESSOIRES GEARBOX,Cabine & Arcade,SET,,INOX,650,0,650,0,Pricing sheet clean,11,IT.1,
IT.1-1,CABINE INOX 1000/900 STANDARD,CABINE INOX 1000/900 STANDARD,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,12,IT.1-1,
IT.1-2,CABINE INOX 1000/900 PERSONALISÉE,CABINE INOX 1000/900 PERSONALISÉE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,13,IT.1-2,
IT.1-3,CABINE INOX 1100/1000 STANDARD,CABINE INOX 1100/1000 STANDARD,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,14,IT.1-3,
IT.1-4,CABINE INOX 1100/1000 PERSONALISÉE,CABINE INOX 1100/1000 PERSONALISÉE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,15,IT.1-4,
IT.1-5,CABINE INOX 1200/1100 STANDARD,CABINE INOX 1200/1100 STANDARD,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,16,IT.1-5,
IT.1-6,CABINE INOX 1200/1100 PERSONALISÉE,CABINE INOX 1200/1100 PERSONALISÉE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,17,IT.1-6,
IT.1-13,CABINE INOX 1400/1300 STANDARD,CABINE INOX 1400/1300 STANDARD,Cabine & Arcade,SET,,STEEL,350,0,350,0,Pricing sheet clean,18,IT.1-13,
IT.1-14,CABINE INOX 1400/1300 PERSONALISÉE,CABINE INOX 1400/1300 PERSONALISÉE,Cabine & Arcade,SET,,STEEL,350,0,350,0,Pricing sheet clean,19,IT.1-14,
IT.1-17,CABINE  1000/900 PANORAMIQUE,CABINE  1000/900 PANORAMIQUE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,20,IT.1-17,
IT.1-18,CABINE  1100/1000 PANORAMIQUE,CABINE  1100/1000 PANORAMIQUE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,21,IT.1-18,
IT.1-19,CABINE  1200/1100 PANORAMIQUE,CABINE  1200/1100 PANORAMIQUE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,22,IT.1-19,
IT.1-20,CABINE INOX 1300/1200 STANDARD,CABINE INOX 1300/1200 STANDARD,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,23,IT.1-20,
IT.1-21,CABINE INOX 1300/1200 PERSONALISÉE,CABINE INOX 1300/1200 PERSONALISÉE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,24,IT.1-21,
IT.1-22,CABINE  1300/1200 PANORAMIQUE,CABINE  1300/1200 PANORAMIQUE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,25,IT.1-22,
IT.1-23,CABINE  1400/1300 PANORAMIQUE,CABINE  1400/1300 PANORAMIQUE,Cabine & Arcade,Pc,,INOX,350,0,350,0,Pricing sheet clean,26,IT.1-23,
IT.1-7,ARCADE CABINE 1000/900 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,ARCADE CABINE 1000/900 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,Cabine & Arcade,SET,,STEEL,200,0,200,0,Pricing sheet clean,27,IT.1-7,
IT.1-8,ARCADE CABINE 1000/900 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,ARCADE CABINE 1000/900 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,Cabine & Arcade,SET,,STEEL,200,0,200,0,Pricing sheet clean,28,IT.1-8,
IT.1-9,ARCADE CABINE 1100/1000 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,ARCADE CABINE 1100/1000 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,Cabine & Arcade,SET,,STEEL,200,0,200,0,Pricing sheet clean,29,IT.1-9,
IT.1-10,ARCADE CABINE 1100/1000 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,ARCADE CABINE 1100/1000 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,Cabine & Arcade,SET,,STEEL,200,0,200,0,Pricing sheet clean,30,IT.1-10,
IT.1-11,ARCADE CABINE 1200/1100 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,ARCADE CABINE 1200/1100 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,Cabine & Arcade,SET,,STEEL,200,0,200,0,Pricing sheet clean,31,IT.1-11,
IT.1-12,ARCADE CABINE 1200/1100 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,ARCADE CABINE 1200/1100 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,Cabine & Arcade,SET,,STEEL,200,0,200,0,Pricing sheet clean,32,IT.1-12,
IT.1-15,ARCADE CABINE 1400/1300 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,ARCADE CABINE 1400/1300 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARBOX,Cabine & Arcade,SET,,STEEL,201,0,201,0,Pricing sheet clean,33,IT.1-15,
IT.1-16,ARCADE CABINE 1400/1300 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,ARCADE CABINE 1400/1300 + ARCADE CONTRE-POIDS + TIRANDS + COULISSEAUX GEARLESS,Cabine & Arcade,SET,,STEEL,202,0,202,0,Pricing sheet clean,34,IT.1-16,
IT.1-17-ARCADE,SET ARCADE TYPE L VVVF 2V,SET ARCADE TYPE L VVVF 2V,Cabine & Arcade,SET,,STEEL,203,0,203,0,Pricing sheet clean,35,IT.1-17,Duplicate source ref resolved from IT.1-17
